"ИД";"ЧЛВК_ИД";"ПРИЗНАК";"СОСТОЯНИЕ";"НАЧАЛО";"КОНЕЦ";"ПЛАН_ИД";"ГРУППА";"П_ПРКОК_ИД";"ВИД_ОБУЧ_ИД";"ПРИМЕЧАНИЕ";"КТО_СОЗДАЛ";"КОГДА_СОЗДАЛ";"КТО_ИЗМЕНИЛ";"КОГДА_ИЗМЕНИЛ";"КОНЕЦ_ПО_ПРИКАЗУ";"ВМЕСТО";"В_СВЯЗИ_С";"ТЕКСТ"
60974;116361;диплом;утвержден;2004-06-30 00:00:00.000;2004-11-19 00:00:00.000;1676;"6538";196643;1;;ISU_UCHEB;2011-11-08 15:55:53.000;ISU_UCHEB;2011-11-08 15:55:53.000;9999-09-09 00:00:00.000;;83873;
60977;116419;диплом;утвержден;2004-06-30 00:00:00.000;2004-06-30 00:00:00.000;1676;"6538";196643;1;;ISU_UCHEB;2011-11-08 15:55:53.000;ISU_UCHEB;2011-11-08 15:55:53.000;9999-09-09 00:00:00.000;;73899;
60978;116439;диплом;утвержден;2004-06-30 00:00:00.000;2004-06-30 00:00:00.000;1676;"6538";196643;1;;ISU_UCHEB;2011-11-08 15:55:53.000;ISU_UCHEB;2011-11-08 15:55:53.000;9999-09-09 00:00:00.000;;75687;
60979;115775;диплом;утвержден;2004-06-30 00:00:00.000;2004-11-19 00:00:00.000;1676;"6538";196643;1;;ISU_UCHEB;2011-11-08 15:55:53.000;ISU_UCHEB;2011-11-08 15:55:53.000;9999-09-09 00:00:00.000;;79982;
60980;116501;диплом;утвержден;2004-06-30 00:00:00.000;2004-06-30 00:00:00.000;1676;"6538";196643;1;;ISU_UCHEB;2011-11-08 15:55:53.000;ISU_UCHEB;2011-11-08 15:55:53.000;9999-09-09 00:00:00.000;;79324;
60993;116526;диплом;утвержден;2004-06-30 00:00:00.000;2004-11-19 00:00:00.000;1676;"6539";195721;1;;ISU_UCHEB;2011-11-08 15:55:53.000;ISU_UCHEB;2011-11-08 15:55:53.000;9999-09-09 00:00:00.000;;79976;
62826;119367;обучен;утвержден;2004-09-01 00:00:00.000;2005-08-31 00:00:00.000;2354;"5539";198067;1;;ISU_UCHEB;2011-11-08 15:55:53.000;ISU_UCHEB;2011-11-08 15:55:53.000;2005-08-31 00:00:00.000;;94345;
71570;132514;обучен;утвержден;2004-09-01 00:00:00.000;2005-06-30 00:00:00.000;2142;"1103";201356;1;;ISU_UCHEB;2011-11-08 15:55:53.000;ISU_UCHEB;2011-11-08 15:55:53.000;2005-08-31 00:00:00.000;;86078;
71571;133364;обучен;утвержден;2004-09-01 00:00:00.000;2005-08-31 00:00:00.000;2142;"1103";201356;1;;ISU_UCHEB;2011-11-08 15:55:53.000;ISU_UCHEB;2011-11-08 15:55:53.000;2005-08-31 00:00:00.000;;91240;
71572;133159;обучен;утвержден;2004-09-01 00:00:00.000;2005-08-31 00:00:00.000;2142;"1103";201356;1;;ISU_UCHEB;2011-11-08 15:55:53.000;ISU_UCHEB;2011-11-08 15:55:53.000;2005-08-31 00:00:00.000;;91236;
71575;133823;обучен;утвержден;2004-09-01 00:00:00.000;2005-08-31 00:00:00.000;2154;"1120";201356;1;;ISU_UCHEB;2011-11-08 15:55:53.000;ISU_UCHEB;2011-11-08 15:55:53.000;2005-08-31 00:00:00.000;;91256;
71576;133974;обучен;утвержден;2004-09-01 00:00:00.000;2005-08-31 00:00:00.000;2154;"1120";201356;1;;ISU_UCHEB;2011-11-08 15:55:53.000;ISU_UCHEB;2011-11-08 15:55:53.000;2005-08-31 00:00:00.000;;91258;
71577;134159;обучен;утвержден;2004-09-01 00:00:00.000;2005-08-31 00:00:00.000;2154;"1120";201356;1;;ISU_UCHEB;2011-11-08 15:55:53.000;ISU_UCHEB;2011-11-08 15:55:53.000;2005-08-31 00:00:00.000;;91259;
94151;130103;обучен;утвержден;2005-09-01 00:00:00.000;2006-08-31 00:00:00.000;3099;"3539";238610;1;;ISU_UCHEB;2011-11-08 15:55:53.000;ISU_UCHEB;2011-11-08 15:55:53.000;2006-08-31 00:00:00.000;;116883;
94152;130125;обучен;утвержден;2005-09-01 00:00:00.000;2006-08-31 00:00:00.000;3099;"3539";238610;1;;ISU_UCHEB;2011-11-08 15:55:53.000;ISU_UCHEB;2011-11-08 15:55:53.000;2006-08-31 00:00:00.000;;116884;
94153;130123;обучен;утвержден;2005-09-01 00:00:00.000;2006-08-31 00:00:00.000;3099;"3539";238610;1;;ISU_UCHEB;2011-11-08 15:55:53.000;ISU_UCHEB;2011-11-08 15:55:53.000;2006-08-31 00:00:00.000;;116885;
94154;130147;обучен;утвержден;2005-09-01 00:00:00.000;2005-12-11 00:00:00.000;3099;"3539";238610;1;;ISU_UCHEB;2011-11-08 15:55:53.000;ISU_UCHEB;2011-11-08 15:55:53.000;2006-08-31 00:00:00.000;;107661;
